RefreshRate:,59.9994
Experiment duration (us):,585631753
Trial,Condition number,Condition name,Duration (us),Duration (frames),Error timing flag (1 if trial is compromised)
1,5,180,6800713,408.0387,
2,4,135,6800730,408.0397,
3,4,135,6800691,408.0374,
4,3,90,6800715,408.0388,
5,1,0,6800735,408.04,
6,1,0,6800727,408.0395,
7,6,225,6800744,408.0406,
8,1,0,6800688,408.0372,
9,5,180,6800693,408.0375,
10,7,270,6800732,408.0398,
11,1,0,6800689,408.0372,
12,8,315,6800709,408.0385,
13,1,0,6800725,408.0394,
14,4,135,6800678,408.0366,
15,8,315,6800706,408.0383,
16,7,270,6800719,408.039,
17,4,135,6800742,408.0404,
18,4,135,6800699,408.0378,
19,1,0,6800693,408.0375,
20,3,90,6800702,408.038,
21,2,45,6800683,408.0369,
22,1,0,6800746,408.0406,
23,2,45,6800709,408.0385,
24,2,45,6800690,408.0373,
25,2,45,6800704,408.0381,
26,4,135,6800697,408.0377,
27,8,315,6800709,408.0385,
28,2,45,6800727,408.0395,
29,8,315,6800735,408.04,
30,8,315,6800699,408.0378,
31,6,225,6800719,408.039,
32,5,180,6800731,408.0398,
33,2,45,6800691,408.0374,
34,8,315,6800711,408.0386,
35,3,90,6800627,408.0335,
36,3,90,6800695,408.0376,
37,3,90,6800730,408.0397,
38,7,270,6800599,408.0318,
39,5,180,6800743,408.0405,
40,1,0,6800734,408.0399,
41,5,180,6800732,408.0398,
42,5,180,6800741,408.0404,
43,2,45,6800706,408.0383,
44,5,180,6800719,408.039,
45,3,90,6800736,408.0401,
46,6,225,6800701,408.038,
47,7,270,6800703,408.0381,
48,4,135,6800746,408.0406,
49,7,270,6800650,408.0349,
50,4,135,6800730,408.0397,
51,2,45,6800717,408.0389,
52,8,315,6800739,408.0403,
53,7,270,6800698,408.0378,
54,8,315,6800752,408.041,
55,5,180,6800725,408.0394,
56,5,180,6800756,408.0413,
57,6,225,6800736,408.0401,
58,2,45,6800758,408.0414,
59,6,225,6800745,408.0406,
60,7,270,6800734,408.0399,
61,8,315,6800712,408.0386,
62,2,45,6800743,408.0405,
63,5,180,6800719,408.039,
64,4,135,6800745,408.0406,
65,6,225,6800736,408.0401,
66,8,315,6800723,408.0393,
67,6,225,6800643,408.0345,
68,1,0,6800718,408.039,
69,3,90,6800748,408.0408,
70,7,270,6800709,408.0385,
71,3,90,6800726,408.0395,
72,1,0,6800741,408.0404,
73,3,90,6800724,408.0393,
74,3,90,6800717,408.0389,
75,6,225,6800754,408.0411,
76,6,225,6800739,408.0403,
77,7,270,6800715,408.0388,
78,6,225,6800753,408.0411,
79,4,135,6800721,408.0392,
80,7,270,6800738,408.0402,
