RefreshRate:,59.8854,,,,
Experiment duration (us):,1126129799,,,,
Trial,Condition number,Condition name,Duration (us),Duration (frames),Error timing flag (1 if trial is compromised)
1,1,Contrast 100, Direction 0,4174563,250.00,
2,7,Contrast 100, Direction 90,4174571,250.00,
3,2,Contrast 50, Direction 0,4174576,250.00,
4,18,Contrast 25, Direction 225,4174571,250.00,
5,3,Contrast 25, Direction 0,4174571,250.00,
6,5,Contrast 50, Direction 45,4174577,250.00,
7,8,Contrast 50, Direction 90,4174571,250.00,
8,4,Contrast 100, Direction 45,4174571,250.00,
9,9,Contrast 25, Direction 90,4174570,250.00,
10,22,Contrast 100, Direction 315,4174570,250.00,
11,2,Contrast 50, Direction 0,4174579,250.00,
12,12,Contrast 25, Direction 135,4174572,250.00,
13,15,Contrast 25, Direction 180,4174571,250.00,
14,3,Contrast 25, Direction 0,4174572,250.00,
15,3,Contrast 25, Direction 0,4174571,250.00,
16,8,Contrast 50, Direction 90,4174579,250.00,
17,12,Contrast 25, Direction 135,4174571,250.00,
18,14,Contrast 50, Direction 180,4174572,250.00,
19,1,Contrast 100, Direction 0,4174572,250.00,
20,23,Contrast 50, Direction 315,4174572,250.00,
21,7,Contrast 100, Direction 90,4174573,250.00,
22,21,Contrast 25, Direction 270,4174579,250.00,
23,12,Contrast 25, Direction 135,4174573,250.00,
24,4,Contrast 100, Direction 45,4174572,250.00,
25,3,Contrast 25, Direction 0,4174571,250.00,
26,11,Contrast 50, Direction 135,4174580,250.00,
27,12,Contrast 25, Direction 135,4174580,250.00,
28,11,Contrast 50, Direction 135,4174581,250.00,
29,20,Contrast 50, Direction 270,4174573,250.00,
30,7,Contrast 100, Direction 90,4174580,250.00,
31,11,Contrast 50, Direction 135,4174572,250.00,
32,4,Contrast 100, Direction 45,4174572,250.00,
33,21,Contrast 25, Direction 270,4174578,250.00,
34,4,Contrast 100, Direction 45,4174573,250.00,
35,8,Contrast 50, Direction 90,4174572,250.00,
36,2,Contrast 50, Direction 0,4174571,250.00,
37,12,Contrast 25, Direction 135,4174579,250.00,
38,13,Contrast 100, Direction 180,4174579,250.00,
39,9,Contrast 25, Direction 90,4174578,250.00,
40,7,Contrast 100, Direction 90,4174573,250.00,
41,7,Contrast 100, Direction 90,4174572,250.00,
42,10,Contrast 100, Direction 135,4174571,250.00,
43,10,Contrast 100, Direction 135,4174572,250.00,
